Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00162554
0.4, -0.00296894
0.6, -0.00262226
0.8, -0.00343977
1, -0.00414906
1.2, -0.00383935
1.4, -0.00387978
1.6, -0.00486684
1.8, -0.00520422
2, -0.00416151
2.2, -0.00557098
2.4, -0.00562262
2.6, -0.00418876
2.8, -0.0041948
3, -0.00427719
3.2, -0.0033308
3.4, -0.0031939
3.6, -0.00466407
3.8, -0.00426755
4, -0.00620667
4.2, -0.00660398
4.4, -0.00639861
4.6, -0.00655644
4.8, -0.006779
5, -0.00578631
5.2, -0.00576055
5.4, -0.00564353
5.6, -0.00526331
5.8, -0.00523964
6, -0.00530069
6.2, -0.00507191
6.4, -0.00488031
6.6, -0.00520785
6.8, -0.00488512
7, -0.00553552
7.2, -0.00569564
7.4, -0.00631995
7.6, -0.00636286
7.8, -0.00670737
8, -0.00743154
8.2, -0.00695938
8.4, -0.00711616
8.6, -0.00786147
8.8, -0.00736805
9, -0.0072879
9.2, -0.00915069
9.4, -0.00962201
9.6, -0.00890098
9.8, -0.0102955
10, -0.0100145
10.2, -0.00974478
10.4, -0.0104709
10.6, -0.0113583
10.8, -0.0121451
11, -0.0114587
11.2, -0.0112273
11.4, -0.0114801
11.6, -0.011414
11.8, -0.0104991
12, -0.0120431
12.2, -0.0110543
12.4, -0.0103548
12.6, -0.0101703
12.8, -0.0106478
13, -0.00933823
13.2, -0.0104967
13.4, -0.0112518
13.6, -0.0119489
13.8, -0.0107945
14, -0.0109907
14.2, -0.0108799
14.4, -0.0105956
14.6, -0.0105794
14.8, -0.0112236
15, -0.0117479
15.2, -0.0127679
15.4, -0.0128652
15.6, -0.012645
15.8, -0.0129532
16, -0.0139549
16.2, -0.0138401
16.4, -0.0143423
16.6, -0.0153186
16.8, -0.015299
17, -0.014565
17.2, -0.0139857
17.4, -0.0133686
17.6, -0.0131722
17.8, -0.0123918
18, -0.0124712
18.2, -0.0129945
18.4, -0.0142269
18.6, -0.0143662
18.8, -0.0162885
19, -0.0163829
19.2, -0.0163026
19.4, -0.0140855
19.6, -0.0133925
19.8, -0.0120177
20, -0.0119155
20.2, -0.0107557
20.4, -0.0116616
20.6, -0.0131161
20.8, -0.0126474
21, -0.0119559
21.2, -0.0125859
21.4, -0.0136679
21.6, -0.0124923
21.8, -0.0139579
22, -0.0149263
22.2, -0.0149399
22.4, -0.0141373
22.6, -0.0142303
22.8, -0.0131973
23, -0.0137233
23.2, -0.0138005
23.4, -0.0140593
23.6, -0.0141631
23.8, -0.0140805
24, -0.0138394
24.2, -0.0144081
24.4, -0.0149466
24.6, -0.014456
24.8, -0.0145164
25, -0.0136909
25.2, -0.0139928
25.4, -0.0125773
25.6, -0.0129695
25.8, -0.0136524
26, -0.0138061
26.2, -0.0123364
26.4, -0.0136184
26.6, -0.0141427
26.8, -0.0155113
27, -0.0164439
27.2, -0.0178115
27.4, -0.0173089
27.6, -0.0166144
27.8, -0.0165555
28, -0.0168394
28.2, -0.0172561
28.4, -0.0158742
28.6, -0.0164838
28.8, -0.0156487
29, -0.0149078
29.2, -0.0136047
29.4, -0.0143837
29.6, -0.0139502
29.8, -0.0139926
30, 0.130663, Step 2
30.2, 0.124964
30.4, 0.114407
30.6, 0.107757
30.8, 0.106858
31, 0.101941
31.2, 0.100364
31.4, 0.100123
31.6, 0.101075
31.8, 0.101658
32, 0.103256
32.2, 0.103486
32.4, 0.105269
32.6, 0.107854
32.8, 0.108282
33, 0.110283
33.2, 0.112762
33.4, 0.114799
33.6, 0.114708
33.8, 0.118162
34, 0.118775
34.2, 0.120723
34.4, 0.122485
34.6, 0.124986
34.8, 0.126746
35, 0.129205
35.2, 0.130855
35.4, 0.133956
35.6, 0.137694
35.8, 0.138984
36, 0.14164
36.2, 0.143699
36.4, 0.143639
36.6, 0.144621
36.8, 0.147476
37, 0.148505
37.2, 0.150899
37.4, 0.153461
37.6, 0.15432
37.8, 0.155758
38, 0.157945
38.2, 0.159788
38.4, 0.162842
38.6, 0.16691
38.8, 0.167786
39, 0.169612
39.2, 0.171769
39.4, 0.173699
39.6, 0.174204
39.8, 0.17722
40, 0.178776
40.2, 0.179843
40.4, 0.1817
40.6, 0.18587
40.8, 0.18694
41, 0.189993
41.2, 0.191973
41.4, 0.192986
41.6, 0.193181
41.8, 0.196137
42, 0.19681
42.2, 0.198862
42.4, 0.200652
42.6, 0.203111
42.8, 0.204881
43, 0.207139
43.2, 0.209056
43.4, 0.210757
43.6, 0.210634
43.8, 0.213551
44, 0.214651
44.2, 0.216331
44.4, 0.21966
44.6, 0.223022
44.8, 0.223568
45, 0.226089
45.2, 0.227609
45.4, 0.228738
45.6, 0.228833
45.8, 0.231456
46, 0.233934
46.2, 0.236098
46.4, 0.237335
46.6, 0.240129
46.8, 0.242051
47, 0.244107
47.2, 0.245328
47.4, 0.247833
47.6, 0.250617
47.8, 0.251589
48, 0.252474
48.2, 0.254095
48.4, 0.255778
48.6, 0.256529
48.8, 0.258373
49, 0.261387
49.2, 0.263941
49.4, 0.264868
49.6, 0.268394
49.8, 0.269941
50, 0.270311
50.2, 0.272348
50.4, 0.275494
50.6, 0.276743
50.8, 0.278423
51, 0.280669
51.2, 0.283106
51.4, 0.283919
51.6, 0.284663
51.8, 0.286565
52, 0.288388
52.2, 0.289141
52.4, 0.290685
52.6, 0.292997
52.8, 0.29508
53, 0.297937
53.2, 0.299112
53.4, 0.30172
53.6, 0.303659
53.8, 0.305483
54, 0.307089
54.2, 0.309771
54.4, 0.311187
54.6, 0.312791
54.8, 0.314352
55, 0.314398
55.2, 0.316543
55.4, 0.318953
55.6, 0.32059
55.8, 0.322681
56, 0.323911
56.2, 0.325455
56.4, 0.326489
56.6, 0.329083
56.8, 0.32895
57, 0.332296
57.2, 0.332934
57.4, 0.334665
57.6, 0.335539
57.8, 0.338147
58, 0.340878
58.2, 0.3426
58.4, 0.344643
58.6, 0.346383
58.8, 0.349018
59, 0.348749
59.2, 0.35198
59.4, 0.354772
59.6, 0.356316
59.8, 0.357824
60, 0.360094
60.2, 0.360001
60.4, 0.361206
60.6, 0.361824
60.8, 0.362902
61, 0.365554
61.2, 0.367406
61.4, 0.369716
61.6, 0.372538
61.8, 0.374137
62, 0.374553
62.2, 0.37693
62.4, 0.377507
62.6, 0.379544
62.8, 0.382417
63, 0.383525
63.2, 0.383909
63.4, 0.385855
63.6, 0.387816
63.8, 0.387963
64, 0.391408
64.2, 0.39447
64.4, 0.396277
64.6, 0.396433
64.8, 0.398836
65, 0.398362
65.2, 0.401109
65.4, 0.402484
65.6, 0.405544
65.8, 0.407783
66, 0.411431
66.2, 0.411046
66.4, 0.413451
66.6, 0.413063
66.8, 0.414677
67, 0.415518
67.2, 0.417542
67.4, 0.419678
67.6, 0.421232
67.8, 0.423011
68, 0.425487
68.2, 0.428942
68.4, 0.428633
68.6, 0.432358
68.8, 0.434317
69, 0.435605
69.2, 0.43641
69.4, 0.43926
69.6, 0.439492
69.8, 0.440933
70, 0.444068
70.2, 0.445297
70.4, 0.445306
70.6, 0.447582
70.8, 0.449037
71, 0.448954
71.2, 0.450673
71.4, 0.452668
71.6, 0.454619
71.8, 0.457636
72, 0.458837
72.2, 0.459767
72.4, 0.462682
72.6, 0.464274
72.8, 0.464014
73, 0.465056
73.2, 0.467149
73.4, 0.468567
73.6, 0.469746
73.8, 0.470842
74, 0.473274
74.2, 0.473869
74.4, 0.475083
74.6, 0.477481
74.8, 0.481524
75, 0.48262
75.2, 0.485531
75.4, 0.488068
75.6, 0.488727
75.8, 0.489143
76, 0.491219
76.2, 0.491884
76.4, 0.492884
76.6, 0.494799
76.8, 0.4956
77, 0.495881
77.2, 0.499291
77.4, 0.500514
77.6, 0.502177
77.8, 0.504205
78, 0.507123
78.2, 0.507661
78.4, 0.510456
78.6, 0.512915
78.8, 0.514052
79, 0.516527
79.2, 0.519372
79.4, 0.519204
79.6, 0.521109
79.8, 0.52329
80, 0.522632
80.2, 0.523655
80.4, 0.525544
80.6, 0.527536
80.8, 0.529505
81, 0.532414
81.2, 0.53361
81.4, 0.536051
81.6, 0.53754
81.8, 0.53953
82, 0.541919
82.2, 0.543506
82.4, 0.545805
82.6, 0.547794
82.8, 0.548075
83, 0.548945
83.2, 0.548545
83.4, 0.549102
83.6, 0.549792
83.8, 0.551689
84, 0.553881
84.2, 0.556506
84.4, 0.557364
84.6, 0.558394
84.8, 0.559983
85, 0.560792
85.2, 0.561859
85.4, 0.564027
85.6, 0.565651
85.8, 0.568246
86, 0.571157
86.2, 0.573875
86.4, 0.576549
86.6, 0.577449
86.8, 0.577414
87, 0.577747
87.2, 0.578559
87.4, 0.57859
87.6, 0.580175
87.8, 0.582239
88, 0.584134
88.2, 0.58622
88.4, 0.588071
88.6, 0.590355
88.8, 0.592773
89, 0.594749
89.2, 0.596319
89.4, 0.597253
89.6, 0.599373
89.8, 0.599531
90, 0.600386
90.2, 0.603402
90.4, 0.604459
90.6, 0.604809
90.8, 0.606079
91, 0.607547
91.2, 0.608019
91.4, 0.610665
91.6, 0.612902
91.8, 0.614291
92, 0.615069
92.2, 0.617076
92.4, 0.618558
92.6, 0.620661
92.8, 0.622803
93, 0.625443
93.2, 0.626255
93.4, 0.629463
93.6, 0.630095
93.8, 0.631452
94, 0.633203
94.2, 0.635133
94.4, 0.634682
94.6, 0.635398
94.8, 0.637677
95, 0.639639
95.2, 0.64162
95.4, 0.643343
95.6, 0.647097
95.8, 0.649645
96, 0.649908
96.2, 0.651877
96.4, 0.652135
96.6, 0.651977
96.8, 0.653166
97, 0.655028
97.2, 0.655664
97.4, 0.658734
97.6, 0.659965
97.8, 0.662162
98, 0.663555
98.2, 0.66478
98.4, 0.666205
98.6, 0.66919
98.8, 0.669818
99, 0.671501
99.2, 0.67444
99.4, 0.676478
99.6, 0.677704
99.8, 0.679887
100, 0.681997
100.2, 0.682614
100.4, 0.683816
100.6, 0.685556
100.8, 0.685567
101, 0.687002
101.2, 0.686571
101.4, 0.687764
101.6, 0.689213
101.8, 0.690691
102, 0.692224
102.2, 0.696417
102.4, 0.69666
102.6, 0.696725
102.8, 0.69917
103, 0.699903
103.2, 0.700569
103.4, 0.703425
103.6, 0.705377
103.8, 0.706031
104, 0.707871
104.2, 0.709198
104.4, 0.710591
104.6, 0.712684
104.8, 0.714583
105, 0.714811
105.2, 0.716818
105.4, 0.719448
105.6, 0.720753
105.8, 0.72149
106, 0.723868
106.2, 0.724978
106.4, 0.725908
106.6, 0.726662
106.8, 0.729295
107, 0.730482
107.2, 0.730687
107.4, 0.731372
107.6, 0.733721
107.8, 0.734156
108, 0.736421
108.2, 0.739542
108.4, 0.741524
108.6, 0.743624
108.8, 0.745971
109, 0.745366
109.2, 0.74636
109.4, 0.748153
109.6, 0.748413
109.8, 0.749885
110, 0.753749
110.2, 0.754882
110.4, 0.755211
110.6, 0.756057
110.8, 0.756192
111, 0.757559
111.2, 0.759591
111.4, 0.761116
111.6, 0.76315
111.8, 0.766779
112, 0.765554
112.2, 0.766718
112.4, 0.768832
112.6, 0.770959
112.8, 0.771248
113, 0.77507
113.2, 0.77647
113.4, 0.778152
113.6, 0.780329
113.8, 0.780987
114, 0.780606
114.2, 0.781805
114.4, 0.782402
114.6, 0.783472
114.8, 0.787551
115, 0.790868
115.2, 0.791689
115.4, 0.79404
115.6, 0.794144
115.8, 0.79305
116, 0.793314
116.2, 0.795302
116.4, 0.795407
116.6, 0.797203
116.8, 0.799779
117, 0.803368
117.2, 0.803922
117.4, 0.806456
117.6, 0.808086
117.8, 0.80941
118, 0.808426
118.2, 0.811926
118.4, 0.813562
118.6, 0.815037
118.8, 0.816965
119, 0.82032
119.2, 0.820021
119.4, 0.821129
119.6, 0.822914
119.8, 0.823957
120, 0.82439
120.2, 0.827343
120.4, 0.827488
120.6, 0.829066
120.8, 0.830735
121, 0.832144
121.2, 0.83204
121.4, 0.835454
121.6, 0.836126
121.8, 0.836896
122, 0.837765
122.2, 0.83877
122.4, 0.838616
122.6, 0.839494
122.8, 0.841188
123, 0.841608
123.2, 0.843967
123.4, 0.84505
123.6, 0.846602
123.8, 0.847615
124, 0.849884
124.2, 0.852192
124.4, 0.853965
124.6, 0.856412
124.8, 0.857637
125, 0.859031
125.2, 0.859782
125.4, 0.861986
125.6, 0.862016
125.8, 0.863882
126, 0.865506
126.2, 0.866616
126.4, 0.868215
126.6, 0.869811
126.8, 0.872491
127, 0.874017
127.2, 0.876203
127.4, 0.877082
127.6, 0.879726
127.8, 0.880075
128, 0.881609
128.2, 0.879987
128.4, 0.881445
128.6, 0.882663
128.8, 0.884384
129, 0.886053
129.2, 0.889164
129.4, 0.889379
129.6, 0.890568
129.8, 0.892063
130, 0.893274
130.2, 0.894672
130.4, 0.89659
130.6, 0.897718
130.8, 0.899413
131, 0.900045
131.2, 0.901286
131.4, 0.903856
131.6, 0.905121
131.8, 0.905387
132, 0.907375
132.2, 0.908036
132.4, 0.907927
132.6, 0.90914
132.8, 0.910562
133, 0.911649
133.2, 0.914613
133.4, 0.915868
133.6, 0.9179
133.8, 0.91942
134, 0.920697
134.2, 0.921002
134.4, 0.9233
134.6, 0.925262
134.8, 0.926334
135, 0.930457
135.2, 0.930632
135.4, 0.932189
135.6, 0.932266
135.8, 0.933554
136, 0.932964
136.2, 0.936188
136.4, 0.937362
136.6, 0.937525
136.8, 0.939356
137, 0.939335
137.2, 0.938787
137.4, 0.940437
137.6, 0.943515
137.8, 0.943779
138, 0.946016
138.2, 0.948837
138.4, 0.947814
138.6, 0.949323
138.8, 0.951276
139, 0.951937
139.2, 0.95496
139.4, 0.95866
139.6, 0.960061
139.8, 0.961815
140, 0.96295
140.2, 0.963206
140.4, 0.964506
140.6, 0.966398
140.8, 0.966697
141, 0.96952
141.2, 0.970253
141.4, 0.971037
141.6, 0.972376
141.8, 0.973816
142, 0.974632
142.2, 0.977188
142.4, 0.979663
142.6, 0.979436
142.8, 0.98194
143, 0.981922
143.2, 0.982519
143.4, 0.984622
143.6, 0.986388
143.8, 0.987084
144, 0.990892
144.2, 0.99194
144.4, 0.990632
144.6, 0.993047
144.8, 0.994484
145, 0.994049
145.2, 0.995225
145.4, 0.996955
145.6, 0.996653
145.8, 0.998882
146, 1.0011
146.2, 1.00141
146.4, 1.00432
146.6, 1.00758
146.8, 1.00775
147, 1.00814
147.2, 1.01067
147.4, 1.01064
147.6, 1.01119
147.8, 1.01245
148, 1.01366
148.2, 1.01571
148.4, 1.01749
148.6, 1.01835
148.8, 1.0194
149, 1.0215
149.2, 1.02179
149.4, 1.02292
149.6, 1.02398
149.8, 1.02574
150, 1.0276
150.2, 1.02866
150.4, 1.02947
150.6, 1.03069
150.8, 1.0319
151, 1.03152
151.2, 1.0336
151.4, 1.03472
151.6, 1.03639
151.8, 1.03791
152, 1.03972
152.2, 1.04139
152.4, 1.04154
152.6, 1.04444
152.8, 1.04639
153, 1.04751
153.2, 1.04867
153.4, 1.05257
153.6, 1.05269
153.8, 1.05289
154, 1.05577
154.2, 1.05575
154.4, 1.05636
154.6, 1.05603
154.8, 1.05688
155, 1.05753
155.2, 1.0595
155.4, 1.05922
155.6, 1.06069
155.8, 1.06321
156, 1.06352
156.2, 1.06451
156.4, 1.06534
156.6, 1.0664
156.8, 1.06669
157, 1.07007
157.2, 1.0703
157.4, 1.07243
157.6, 1.07467
157.8, 1.07573
158, 1.07437
158.2, 1.07655
158.4, 1.07861
158.6, 1.08046
158.8, 1.08349
159, 1.08505
159.2, 1.08577
159.4, 1.08807
159.6, 1.08942
159.8, 1.08888
160, 1.0914
160.2, 1.09307
160.4, 1.09182
160.6, 1.09263
160.8, 1.0953
161, 1.09551
161.2, 1.09736
161.4, 1.10079
161.6, 1.10087
161.8, 1.10245
162, 1.10402
162.2, 1.10426
162.4, 1.10556
162.6, 1.10767
162.8, 1.10821
163, 1.10995
163.2, 1.11154
163.4, 1.11136
163.6, 1.11251
163.8, 1.11399
164, 1.11328
164.2, 1.11514
164.4, 1.11658
164.6, 1.11747
164.8, 1.11774
165, 1.11985
165.2, 1.12005
165.4, 1.1209
165.6, 1.12377
165.8, 1.12564
166, 1.12802
166.2, 1.12883
166.4, 1.13173
166.6, 1.13239
166.8, 1.1338
167, 1.13409
167.2, 1.13592
167.4, 1.136
167.6, 1.13598
167.8, 1.13791
168, 1.1392
168.2, 1.14112
168.4, 1.14271
168.6, 1.14446
168.8, 1.14497
169, 1.14679
169.2, 1.148
169.4, 1.14822
169.6, 1.15055
169.8, 1.15177
170, 1.15178
170.2, 1.15321
170.4, 1.15411
170.6, 1.15396
170.8, 1.15541
171, 1.15726
171.2, 1.1579
171.4, 1.16064
171.6, 1.16173
171.8, 1.16214
172, 1.16243
172.2, 1.16416
172.4, 1.16431
172.6, 1.16574
172.8, 1.16741
173, 1.16911
173.2, 1.16905
173.4, 1.17136
173.6, 1.17193
173.8, 1.17288
174, 1.17447
174.2, 1.17738
174.4, 1.17796
174.6, 1.17989
174.8, 1.1818
175, 1.18208
175.2, 1.18161
175.4, 1.1835
175.6, 1.18366
175.8, 1.18394
176, 1.18601
176.2, 1.18806
176.4, 1.18844
176.6, 1.19105
176.8, 1.19288
177, 1.19398
177.2, 1.19593
177.4, 1.19796
177.6, 1.19937
177.8, 1.20136
178, 1.20245
178.2, 1.20207
178.4, 1.20344
178.6, 1.203
178.8, 1.20235
179, 1.20409
179.2, 1.20532
179.4, 1.20676
179.6, 1.20958
179.8, 1.21128
180, 1.21166
180.2, 1.21315
180.4, 1.21356
180.6, 1.21376
180.8, 1.21565
181, 1.21709
181.2, 1.21861
181.4, 1.21957
181.6, 1.22092
181.8, 1.2224
182, 1.22271
182.2, 1.22391
182.4, 1.22541
182.6, 1.2277
182.8, 1.22653
183, 1.2286
183.2, 1.22833
183.4, 1.22969
183.6, 1.23099
183.8, 1.23318
184, 1.23495
184.2, 1.23898
184.4, 1.23948
184.6, 1.23949
184.8, 1.24094
185, 1.24012
185.2, 1.23873
185.4, 1.24064
185.6, 1.24211
185.8, 1.24498
186, 1.24773
186.2, 1.24994
186.4, 1.24974
186.6, 1.2518
186.8, 1.25246
187, 1.25252
187.2, 1.25384
187.4, 1.25585
187.6, 1.25506
187.8, 1.25677
188, 1.25802
188.2, 1.2584
188.4, 1.25995
188.6, 1.2628
188.8, 1.26166
189, 1.26483
189.2, 1.26582
189.4, 1.26741
189.6, 1.26821
189.8, 1.26858
190, 1.26911
190.2, 1.27111
190.4, 1.27151
190.6, 1.2714
190.8, 1.27408
191, 1.27501
191.2, 1.27526
191.4, 1.27836
191.6, 1.28097
191.8, 1.28284
192, 1.28401
192.2, 1.28623
192.4, 1.28546
192.6, 1.28581
192.8, 1.28645
193, 1.28724
193.2, 1.28943
193.4, 1.28999
193.6, 1.29153
193.8, 1.29214
194, 1.2926
194.2, 1.29227
194.4, 1.293
194.6, 1.29439
194.8, 1.29663
195, 1.29767
195.2, 1.29818
195.4, 1.30005
195.6, 1.30143
195.8, 1.30183
196, 1.303
196.2, 1.30609
196.4, 1.3077
196.6, 1.30911
196.8, 1.31046
197, 1.31308
197.2, 1.31139
197.4, 1.31267
197.6, 1.31285
197.8, 1.31414
198, 1.31576
198.2, 1.31927
198.4, 1.31923
198.6, 1.32085
198.8, 1.32196
199, 1.32191
199.2, 1.32191
199.4, 1.32272
199.6, 1.3243
199.8, 1.32499
200, 1.32584
200.2, 1.3262
200.4, 1.32833
200.6, 1.3287
200.8, 1.32906
201, 1.33071
201.2, 1.33169
201.4, 1.33263
201.6, 1.33411
201.8, 1.33573
202, 1.3353
202.2, 1.33824
202.4, 1.33949
202.6, 1.33923
202.8, 1.34067
203, 1.34272
203.2, 1.34204
203.4, 1.34362
203.6, 1.34585
203.8, 1.34704
204, 1.34878
204.2, 1.35185
204.4, 1.35229
204.6, 1.35309
204.8, 1.35491
205, 1.35539
205.2, 1.35599
205.4, 1.35643
205.6, 1.35771
205.8, 1.35915
206, 1.36105
206.2, 1.36135
206.4, 1.36246
206.6, 1.36374
206.8, 1.36407
207, 1.3653
207.2, 1.36633
207.4, 1.36907
207.6, 1.37016
207.8, 1.37016
208, 1.37118
208.2, 1.37318
208.4, 1.37304
208.6, 1.37336
208.8, 1.37442
209, 1.37443
209.2, 1.37565
209.4, 1.37747
209.6, 1.37933
209.8, 1.38136
210, 1.31947, Step 3
210.2, 1.31658
210.4, 1.31885
210.6, 1.31381
210.8, 1.31748
211, 1.31631
211.2, 1.31581
211.4, 1.31504
211.6, 1.31585
211.8, 1.31444
212, 1.31463
212.2, 1.31547
212.4, 1.31546
212.6, 1.31506
212.8, 1.31517
213, 1.31452
213.2, 1.31323
213.4, 1.31385
213.6, 1.31383
213.8, 1.31355
214, 1.31493
214.2, 1.31565
214.4, 1.31515
214.6, 1.31505
214.8, 1.31621
215, 1.3147
215.2, 1.3149
215.4, 1.31374
215.6, 1.31437
215.8, 1.31451
216, 1.31637
216.2, 1.31793
216.4, 1.31974
216.6, 1.32125
216.8, 1.32162
217, 1.32147
217.2, 1.32055
217.4, 1.32047
217.6, 1.31995
217.8, 1.32054
218, 1.32013
218.2, 1.32012
218.4, 1.32168
218.6, 1.32109
218.8, 1.32161
219, 1.32203
219.2, 1.32319
219.4, 1.3225
219.6, 1.32275
219.8, 1.32205
220, 1.3213
220.2, 1.32172
220.4, 1.32201
220.6, 1.32196
220.8, 1.32197
221, 1.3232
221.2, 1.32395
221.4, 1.32507
221.6, 1.32649
221.8, 1.32765
222, 1.32808
222.2, 1.32618
222.4, 1.32612
222.6, 1.32619
222.8, 1.32472
223, 1.3249
223.2, 1.32551
223.4, 1.32589
223.6, 1.32524
223.8, 1.32786
224, 1.32753
224.2, 1.32789
224.4, 1.32713
224.6, 1.32792
224.8, 1.32701
225, 1.32819
225.2, 1.32812
225.4, 1.32855
225.6, 1.32971
225.8, 1.32906
226, 1.32881
226.2, 1.32957
226.4, 1.33042
226.6, 1.3297
226.8, 1.33112
227, 1.33158
227.2, 1.33154
227.4, 1.33198
227.6, 1.33223
227.8, 1.33172
228, 1.33153
228.2, 1.33174
228.4, 1.33093
228.6, 1.33018
228.8, 1.33117
229, 1.33058
229.2, 1.33151
229.4, 1.33227
229.6, 1.33449
229.8, 1.33456
230, 1.33607
230.2, 1.33544
230.4, 1.3357
230.6, 1.33475
230.8, 1.33369
231, 1.33335
231.2, 1.33462
231.4, 1.33508
231.6, 1.33466
231.8, 1.33576
232, 1.33473
232.2, 1.335
232.4, 1.33523
232.6, 1.33581
232.8, 1.3365
233, 1.33705
233.2, 1.3368
233.4, 1.33653
233.6, 1.33772
233.8, 1.33735
234, 1.33789
234.2, 1.33845
234.4, 1.33967
234.6, 1.33952
234.8, 1.34032
235, 1.34052
235.2, 1.34106
235.4, 1.34035
235.6, 1.34071
235.8, 1.34088
236, 1.34137
236.2, 1.34111
236.4, 1.34043
236.6, 1.3398
236.8, 1.34098
237, 1.34154
237.2, 1.33976
237.4, 1.34157
237.6, 1.34217
237.8, 1.34137
238, 1.34217
238.2, 1.34541
238.4, 1.34504
238.6, 1.34503
238.8, 1.34559
239, 1.34594
239.2, 1.34438
239.4, 1.34489
239.6, 1.34511
239.8, 1.3441
240, 1.34307
240.2, 1.3437
240.4, 1.34353
240.6, 1.34423
240.8, 1.34475
241, 1.34553
241.2, 1.34514
241.4, 1.34544
241.6, 1.34584
241.8, 1.34623
242, 1.34714
242.2, 1.34771
242.4, 1.34821
242.6, 1.34815
242.8, 1.34784
243, 1.34752
243.2, 1.34788
243.4, 1.34851
243.6, 1.34925
243.8, 1.34941
244, 1.34983
244.2, 1.34942
244.4, 1.34883
244.6, 1.34793
244.8, 1.34881
245, 1.34778
245.2, 1.34827
245.4, 1.34744
245.6, 1.34876
245.8, 1.34865
246, 1.34948
246.2, 1.35027
246.4, 1.35161
246.6, 1.35123
246.8, 1.35108
247, 1.35109
247.2, 1.351
247.4, 1.35085
247.6, 1.35039
247.8, 1.35162
248, 1.35172
248.2, 1.35178
248.4, 1.35226
248.6, 1.35284
248.8, 1.35257
249, 1.35189
249.2, 1.3525
249.4, 1.35176
249.6, 1.35205
249.8, 1.35218
250, 1.3531
250.2, 1.35141
250.4, 1.35202
250.6, 1.35249
250.8, 1.3532
251, 1.35431
251.2, 1.35589
251.4, 1.35614
251.6, 1.35633
251.8, 1.35594
252, 1.35563
252.2, 1.35518
252.4, 1.35608
252.6, 1.35641
252.8, 1.35682
253, 1.35696
253.2, 1.35699
253.4, 1.35645
253.6, 1.35459
253.8, 1.35503
254, 1.35494
254.2, 1.35541
254.4, 1.35554
254.6, 1.35628
254.8, 1.35588
255, 1.35587
255.2, 1.35585
255.4, 1.3562
255.6, 1.35761
255.8, 1.35812
256, 1.35847
256.2, 1.35946
256.4, 1.35903
256.6, 1.35886
256.8, 1.35796
257, 1.35857
257.2, 1.35939
257.4, 1.35979
257.6, 1.35955
257.8, 1.36013
258, 1.35997
258.2, 1.35873
258.4, 1.3602
258.6, 1.35996
258.8, 1.36064
259, 1.36099
259.2, 1.36041
259.4, 1.35944
259.6, 1.36009
259.8, 1.3603
260, 1.3609
260.2, 1.36237
260.4, 1.36269
260.6, 1.3629
260.8, 1.36192
261, 1.36232
261.2, 1.36138
261.4, 1.3618
261.6, 1.36181
261.8, 1.36278
262, 1.3619
262.2, 1.36344
262.4, 1.36266
262.6, 1.36278
262.8, 1.36339
263, 1.36388
263.2, 1.36316
263.4, 1.36327
263.6, 1.36453
263.8, 1.36419
264, 1.36477
264.2, 1.36586
264.4, 1.36675
264.6, 1.36639
264.8, 1.36605
265, 1.3646
265.2, 1.36429
265.4, 1.3645
265.6, 1.36318
265.8, 1.3627
266, 1.36469
266.2, 1.36497
266.4, 1.36503
266.6, 1.36689
266.8, 1.36826
267, 1.36749
267.2, 1.36618
267.4, 1.36622
267.6, 1.36606
267.8, 1.36583
268, 1.36579
268.2, 1.36657
268.4, 1.36719
268.6, 1.36751
268.8, 1.36763
269, 1.36805
269.2, 1.36959
269.4, 1.36923
269.6, 1.36869
269.8, 1.36837
270, 1.36784
270.2, 1.36726
270.4, 1.36712
270.6, 1.36725
270.8, 1.3667
271, 1.36784
271.2, 1.36685
271.4, 1.36741
271.6, 1.36734
271.8, 1.36839
272, 1.36833
272.2, 1.36958
272.4, 1.36887
272.6, 1.37079
272.8, 1.37101
273, 1.37106
273.2, 1.37186
273.4, 1.37197
273.6, 1.37066
273.8, 1.37168
274, 1.37257
274.2, 1.37256
274.4, 1.37323
274.6, 1.37321
274.8, 1.3732
275, 1.37175
275.2, 1.37043
275.4, 1.37027
275.6, 1.37039
275.8, 1.36955
276, 1.37087
276.2, 1.37175
276.4, 1.37134
276.6, 1.37124
276.8, 1.37093
277, 1.36981
277.2, 1.36961
277.4, 1.37039
277.6, 1.37029
277.8, 1.37145
278, 1.373
278.2, 1.37177
278.4, 1.37163
278.6, 1.37308
278.8, 1.37312
279, 1.37199
279.2, 1.37345
279.4, 1.37348
279.6, 1.37265
279.8, 1.3715
280, 1.3721
280.2, 1.37322
280.4, 1.37372
280.6, 1.37233
280.8, 1.37383
281, 1.37505
281.2, 1.37411
281.4, 1.3748
281.6, 1.37781
281.8, 1.37736
282, 1.37623
282.2, 1.37684
282.4, 1.37647
282.6, 1.3755
282.8, 1.37514
283, 1.37541
283.2, 1.37503
283.4, 1.37399
283.6, 1.37417
283.8, 1.37353
284, 1.37404
284.2, 1.37328
284.4, 1.37441
284.6, 1.37411
284.8, 1.37499
285, 1.37504
285.2, 1.37542
285.4, 1.37497
285.6, 1.37385
285.8, 1.3742
286, 1.37362
286.2, 1.37339
286.4, 1.37406
286.6, 1.37606
286.8, 1.37641
287, 1.37621
287.2, 1.37634
287.4, 1.3764
287.6, 1.37554
287.8, 1.37509
288, 1.37564
